"","x"
"1","feature_1"
"2","feature_13"
"3","feature_2"
"4","feature_20"
"5","feature_5"
"6","feature_11"
"7","feature_6"
"8","feature_10"
"9","feature_85"
"10","feature_72"
"11","na_ind_feature_56"
"12","feature_3:feature_72"
"13","feature_10:feature_72"
"14","feature_5:feature_72"
"15","feature_72:na_ind_feature_56"
"16","feature_2:feature_20"
"17","feature_2:feature_65"
"18","feature_2:feature_23"
"19","feature_85:feature_60"
"20","feature_1:feature_75"
"21","feature_1:feature_60"
"22","feature_3:feature_65"
"23","feature_6:feature_85"
"24","feature_72:feature_75"
"25","feature_13:feature_5"
